,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
47,BMTR,970.0,752.25,4.55,-48.761545830220726,63.63,6.81,-840.64 B,-126.57,1.28946493851778,-19.8927245534293,1.84
48,PBRX,555.0,434.76,4.46,168.4192221744062,50.61,1.77,-154.42 B,23.14,1.2765663814518355,3.2953483149641363,0.81
49,TMPI,425.0,173.72,0.32,24.89692738584134,12.32,-18.18,-23.24 B,-352.77,2.4464655767902372,17.070379545778557,21.94
50,ADHI,2200.0,787.9,10.19,130.40675516523376,130.3,3.26,-1.22 T,12.96,2.792232516816855,16.87029170546003,0.72
51,TBIG,5650.0,598.71,9.51,-3695.814161187714,403.5,1.74,+986.95 B,28.01,9.436956122329676,-1.528756521184029,13.89
52,SILO,9300.0,1472.97,3.34,n.a,28.0,2.97,-98.68 B,138.16,6.313774211287399,n.a,4.74
53,PNLF,184.0,511.16,10.71,n.a,n.a,n.a,+1.52 T,6.5,0.35996556851083805,n.a,2.07
54,AKRA,7600.0,1515.97,10.64,-131.25216258484699,76.55,3.35,+1.50 T,28.0,5.013291819758966,-57.903807833162645,0.72
55,DOID,51.0,163.91,1.99,-735.5218042027839,780.55,1.88,+436.04 B,-5.91,0.31114636080776037,-0.06933852906682732,0.22
56,LSIP,1250.0,1045.49,13.25,-90.2396362702813,n.a,3.24,+550.62 B,12.54,1.195611627083951,-13.852006187791602,2.73
57,BUMI,50.0,-597.62,-84.15,n.a,n.a,0.06,+88.47 B,-0.14,-0.08366520531441383,n.a,0.06
58,AALI,16400.0,6885.12,20.85,-4412.168746010561,38.77,38.74,-348.65 B,33.74,2.3819483175311396,-3.7169929220927274,2.34
59,UNVR,36000.0,754.34,129.63,-367.7409580605486,27.18,82.41,+5.34 T,48.62,47.723838057109525,-97.89499703775883,7.14
60,SMCB,1000.0,1035.0,5.62,-889.8679657011916,61.94,2.74,-1.13 T,-27.86,0.966183574879227,-1.1237622192771344,1.59
61,PTPP,3855.0,589.87,15.9,362.58718558105727,129.65,3.24,+139.02 B,30.27,6.535338294878533,10.631925653473502,1.39
62,BDMN,3000.0,3512.72,5.13,n.a,90.2,n.a,+7.23 T,13.02,0.8540390352775058,n.a,1.5
63,HRUM,690.0,1525.02,0.13,848.2657246589765,n.a,n.a,+623.30 B,-8.57,0.45245308258252354,0.8134243550597271,0.79
64,LPKR,1010.0,721.55,11.07,n.a,64.06,n.a,+332.35 B,14.89,1.399764396091747,n.a,1.95
