,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
439,MPMX,485.0,1027.97,6.41,-602.6453867637641,154.06,2.79,-1.71 T,n.a,0.47180365185754447,-0.8047850537850696,0.21
440,MDLN,480.0,438.4,9.06,n.a,67.55,n.a,+122.30 B,12.62,1.094890510948905,n.a,n.a
441,CFIN,272.0,880.63,7.36,n.a,96.87,n.a,-172.78 B,3.15,0.30886978640291607,n.a,1.65
442,BTEL,50.0,-247.79,n.a,n.a,n.a,-1.1,+12.25 B,-0.36,-0.20178376851366076,n.a,1.3
443,HADE,50.0,79.24,-1.28,n.a,11.98,n.a,+1.88 B,34.26,0.6309944472488642,n.a,3.98
444,ENRG,50.0,193.96,2.84,-241.7883610706256,57.95,2.75,+2.17 T,-4.36,0.2577851103320272,-0.20679241870288026,0.46
445,GMCW,860.0,107.69,-17.75,-524.2114042284632,238.6,-91.44,-12.26 B,n.a,7.985885411830254,-1.6405595014968286,1.98
446,BISI,1335.0,579.25,10.73,456.31078595640054,n.a,n.a,+77.68 B,15.44,2.3047043590850236,2.9256376160425805,2.05
447,KDSI,222.0,923.25,8.91,-137.85478183544387,78.73,2.62,-79.96 B,3.28,0.2404549147034931,-1.61039027478205,0.09
448,BCAP,1605.0,809.5,0.72,n.a,67.27,n.a,-784.07 B,227.57,1.9827053736874614,n.a,2.2
449,INTP,21100.0,6188.53,22.01,2205.2930585453714,0.51,268.52,+1.84 T,16.89,3.409533443321758,9.567889364290533,4.6
450,LCGP,505.0,n.a,-0.58,n.a,n.a,n.a,+48.02 B,n.a,n.a,n.a,23.36
451,KOPI,710.0,154.4,-29.9,2.5581518442961904,n.a,-348.35,-,n.a,4.598445595854922,277.5441190416663,n.a
452,RANC,316.0,252.95,3.58,21.33215376717698,28.16,0.62,-20.49 B,-85.06,1.2492587467879028,14.81331906046064,0.42
453,BMTR,970.0,752.25,4.55,-48.761545830220726,63.63,6.81,-840.64 B,-126.57,1.28946493851778,-19.8927245534293,1.84
454,ELTY,50.0,163.27,5.77,n.a,58.36,n.a,+30.08 B,n.a,0.30624119556562746,n.a,1.23
455,ESTI,190.0,151.05,-21.28,-104.23543130549615,158.21,-4.7,-51.79 B,-5.44,1.2578616352201257,-1.8227966980166526,0.69
456,BBNP,1960.0,1729.77,8.26,n.a,31.6,n.a,-4.81 B,16.11,1.133098620047752,n.a,1.4
457,GAMA,55.0,109.77,4.37,23.30381581054133,17.85,1.77,-16.65 B,14.48,0.5010476450760681,2.360128506299003,2.64
458,MTFN,50.0,44.75,-160.98,n.a,n.a,n.a,-20.94 B,n.a,1.1173184357541899,n.a,80.98
459,DPNS,387.0,659.02,7.52,397.70672186911435,n.a,147.63,+9.90 B,8.12,0.5872355922430276,0.9730788511222651,0.88
460,ADHI,2200.0,787.9,10.19,130.40675516523376,130.3,3.26,-1.22 T,12.96,2.792232516816855,16.87029170546003,0.72
461,DSFI,104.0,69.88,8.19,-3.057344130053265,83.1,2.74,+8.52 B,11.77,1.4882655981682886,-34.01645204989996,0.82
462,NELY,140.0,149.98,6.24,-1.3921684547165958,24.42,3.9,-15.45 B,14.57,0.933457794372583,-100.56254293486333,1.75
463,SILO,9300.0,1472.97,3.34,n.a,28.0,2.97,-98.68 B,138.16,6.313774211287399,n.a,4.74
464,GEMS,1400.0,616.8,4.42,134.1810859309037,2.03,2.49,+5.21 B,117.62,2.269779507133593,10.433661274145058,2.27
465,TIRA,1450.0,1513.4,2.52,513.5386183100256,77.61,1.34,+11.49 B,27.16,0.9581075723536407,2.8235461721880246,0.25
466,TRIS,300.0,230.86,10.18,131.93842066599885,59.13,6.23,-35.79 B,12.84,1.299488867712033,2.2737880178166434,0.49
467,SKYB,470.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
468,FASW,1045.0,458.0,2.38,-1112.5022015795682,133.21,2.37,+1.13 T,-5.85,2.2816593886462884,-0.9393239838233791,0.75
469,FAST,1300.0,604.26,11.27,-25.649899218633355,18.0,8.35,+231.59 B,22.51,2.1513917849932147,-50.682460344936395,1.0
470,GEMA,328.0,560.8,9.95,266.1411569714734,52.12,4.05,-43.96 M,4.4,0.5848787446504994,1.2324286996135552,0.2
471,TALF,400.0,255.2,18.95,160.24856179157197,5.95,83.02,+41.01 B,13.55,1.567398119122257,2.496122246140729,1.26
472,JSPT,750.0,805.43,12.57,n.a,38.66,n.a,+107.31 B,10.02,0.9311796183405138,n.a,1.25
473,TIRT,51.0,40.22,12.05,-214.56201302371298,386.13,3.34,+64.15 B,-0.78,1.268025857782198,-0.23769351937597444,0.11
474,BUDI,64.0,206.57,2.25,-143.91902906765512,156.63,1.13,-245.69 B,16.31,0.3098223362540543,-0.44469449533260913,0.19
475,ECII,890.0,1329.02,7.37,882.6852638184652,1.94,21.53,-220.74 B,27.25,0.6696663707092444,1.0082869132196584,0.65
476,SCBD,1700.0,1046.12,1.09,n.a,15.76,n.a,-20.14 B,57.46,1.6250525752303753,n.a,6.32
477,AMFG,6950.0,7466.22,15.43,3158.4869976585796,n.a,n.a,+251.99 B,7.31,0.9308592567591096,2.2004206460726636,0.95
478,MKNT,510.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
479,ESSA,1750.0,1377.33,9.37,-175.59212772045095,31.39,9.16,-330.87 B,27.9,1.2705742269463383,-9.966278230798954,6.95
480,SULI,51.0,-153.25,5.58,n.a,n.a,-1.69,+33.53 B,n.a,-0.33278955954323003,n.a,0.74
481,KREN,2055.0,134.23,16.74,n.a,0.8,n.a,-52.05 B,314.38,15.309543321165165,n.a,8.67
482,ICON,550.0,117.8,1.72,87.68844762871778,18.43,0.84,+9.60 B,58.44,4.66893039049236,6.272205916208695,2.86
483,BRAU,82.0,-35.65,-13.34,n.a,n.a,1.13,-734.78 B,n.a,-2.300140252454418,n.a,0.14
484,MAMI,54.0,256.64,0.47,-59.990731030795196,21.6,1.93,-24.52 B,52.59,0.21041147132169577,-0.9001390560198381,1.4
485,BRNA,730.0,460.63,8.57,-530.3174677228508,207.29,1.95,+154.08 B,-36.53,1.5847860538827259,-1.3765339526426938,0.39
486,SSTM,51.0,194.96,-3.13,-116.085582943828,116.81,-0.68,+15.94 B,-1.57,0.26159212146081245,-0.4393310410016901,0.23
487,PTIS,910.0,925.92,-10.09,-532.627008581905,39.6,-1.7,+19.59 B,-3.83,0.9828062899602558,-1.7085126839940643,1.43
488,RIGS,142.0,2124.45,-1.74,-259.7857148873626,28.67,0.45,+55.41 B,-1.56,0.06684082939113653,-0.5466043429738549,0.26
489,SRTG,3600.0,4013.73,5.58,-1372.7469631160604,39.47,1.85,+438.39 B,11.26,0.8969213175774156,-2.622478939474903,2.28
490,LAPD,50.0,86.54,-10.2,-36.93013059937236,37.86,-2.35,+22.77 B,-5.33,0.5777675063554425,-1.353908020050429,1.18
491,LRNA,117.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
492,KARW,104.0,-280.92,n.a,n.a,n.a,-48.73,-26.16 B,-3.53,-0.37021216004556456,n.a,9.32
493,GOLD,294.0,283.01,3.82,230.72334757501508,n.a,n.a,+71.01 M,74.09,1.0388325500865694,1.2742533561949632,1.93
494,INKP,930.0,6905.1,2.34,-6158.207374691214,150.14,1.48,+1.72 T,1.8,0.13468306034670025,-0.15101797380550736,0.18
495,BAPA,50.0,150.92,5.61,84.73960894246268,36.47,2.81,-7.18 B,5.66,0.331301351709515,0.5900428456537896,0.73
496,GOLL,81.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
497,DUTI,6400.0,2868.23,12.57,n.a,6.76,n.a,+189.22 B,22.32,2.2313412801623302,n.a,5.6
498,IBST,1900.0,2391.48,7.58,252.5327979139892,22.95,n.a,+135.25 B,10.86,0.7944870958569589,7.523775191557992,7.91
499,GJTL,525.0,1445.73,2.27,-1679.3392930873795,106.47,1.86,-1.27 T,-2.64,0.36313834533419104,-0.3126229477039237,0.38
500,MTSM,326.0,334.36,-1.34,n.a,n.a,n.a,-10.04 B,-61.49,0.9749970092116281,n.a,6.84
501,BUMI,50.0,-597.62,-84.15,n.a,n.a,0.06,+88.47 B,-0.14,-0.08366520531441383,n.a,0.06
502,MDKA,1995.0,649.53,-23.39,62.985400523330156,519.81,-4.0,-81.99 B,n.a,3.0714516650501134,31.67400672892507,n.a
503,ACST,2960.0,1275.24,16.53,673.0554502303047,42.31,5.55,-148.28 B,30.46,2.321131708541137,4.397854588336152,1.38
504,JTPE,226.0,172.56,18.19,-8.442180271204467,43.58,3.72,-83.29 B,8.44,1.3096893834028744,-26.7703357118381,0.78
505,BMAS,380.0,167.64,3.86,n.a,12.13,n.a,-60.85 B,64.14,2.2667621092817947,n.a,2.95
506,NISP,1275.0,1385.66,7.51,n.a,63.88,n.a,+533.42 B,10.09,0.9201391394714431,n.a,1.8
507,ABBA,50.0,45.19,5.61,-26.178691355039074,29.23,-0.68,+359.91 M,-19.59,1.1064394777605666,-1.9099503226457353,0.53
508,PLAS,1545.0,151.88,1.01,n.a,40.94,n.a,-26.18 B,-71.05,10.172504608901765,n.a,43.87
509,IATA,51.0,98.87,-3.05,-55.50119180141717,60.66,-2.42,-288.09 B,-7.46,0.5158288661879236,-0.91889918657022,2.68
510,NAGA,217.0,127.76,3.61,n.a,n.a,n.a,+9.00 B,32.92,1.6984971822166561,n.a,1.63
511,BNBR,50.0,-32.13,207.77,n.a,n.a,0.88,+531.18 B,-9.88,-1.556178026766262,n.a,0.89
512,HDTX,870.0,323.4,-5.83,-571.6992746592248,789.56,-11.98,-1.98 T,-12.19,2.6901669758812616,-1.5217790865986047,0.51
513,LSIP,1250.0,1045.49,13.25,-90.2396362702813,n.a,3.24,+550.62 B,12.54,1.195611627083951,-13.852006187791602,2.73
514,INDS,353.0,2707.78,6.99,571.3223087782823,15.06,6.16,-190.07 B,11.48,0.1303650961304094,0.6178648979327562,0.56
515,INDR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
516,HRUM,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
517,INDY,110.0,1878.14,-1.68,-1143.0003947419282,145.99,-0.14,+215.08 B,-1.04,0.05856858381164343,-0.0962379370173676,0.2
518,INDX,136.0,423.05,31.22,183.87362853256764,n.a,1081.19,+45.44 B,3.04,0.32147500295473347,0.7396384195241555,1.28
519,PTRO,290.0,2746.37,0.63,-1538.682114731573,100.7,3.15,+616.62 B,-9.74,0.10559392944140812,-0.18847297776681524,0.23
520,INDF,5650.0,2931.37,7.99,-489.0889329362474,104.8,4.12,+4.05 T,20.05,1.927426425186858,-11.552091285485039,0.93
521,BAYU,1250.0,1002.75,14.77,385.6548436439199,n.a,13.91,-17.40 B,16.07,1.2465719272001994,3.2412402452648594,0.21
522,SCPI,29000.0,-4795.45,-8.97,n.a,n.a,-2.65,-344.38 B,n.a,-6.047399097060755,n.a,n.a
523,BRAM,4590.0,5163.98,7.38,-385.79294467799275,51.86,6.59,-450.95 B,27.93,0.8888492984093664,-11.89757372009772,0.91
524,PUDP,420.0,887.21,4.9,69.97481141267004,11.93,5.26,-18.05 B,9.11,0.4733941231500997,6.002159798946631,1.72
