,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
314,PEGE,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
315,FISH,1690.0,1723.27,12.98,555.9802788826848,50.16,3.99,-12.36 B,9.66,0.9806936811991156,3.0396761615291035,0.06
316,ETWA,67.0,174.13,-20.02,-926.9222012125223,285.21,-1.43,-90.06 B,-0.27,0.38476999942571644,-0.0722822259649798,0.25
317,PBRX,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
318,DNET,1130.0,548.2,5.32,18.49130398808964,n.a,n.a,+33.48 B,41.91,2.0612914994527545,61.1098060324918,6733.42
319,JAWA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
320,MLIA,515.0,841.46,2.41,-3552.118368828118,307.35,1.47,+235.74 B,-1.34,0.6120314691132079,-0.1449839072141912,0.12
321,IMPC,9250.0,1804.31,20.93,812.1476612680643,50.23,10.38,+18.01 B,n.a,5.1266134976805535,11.389554438360769,1.58
322,BUVA,605.0,245.6,2.42,-223.27254873962923,90.86,1.47,-109.13 B,75.93,2.4633550488599347,-2.709692720467507,6.64
323,ASGR,n.a,710.89,31.33,452.3914877278539,3.53,51.76,+108.60 B,9.84,n.a,n.a,1.12
324,IMAS,2150.0,1945.1,-1.2,-1768.6951928420165,235.55,0.33,-204.35 B,-43.35,1.105341627679811,-1.215585369769274,0.57
325,CASS,1200.0,199.11,23.17,-3.888333994167368,68.22,14.39,+148.94 B,19.14,6.0268193460901,-308.615464052224,1.72
326,BSWD,3595.0,1233.34,20.91,n.a,78.55,n.a,+653.89 B,60.04,2.9148491089237356,n.a,2.01
327,DLTA,5175.0,973.77,39.64,802.8172064230442,n.a,n.a,+126.23 B,19.58,5.314396623432638,6.446050182528145,7.1
328,ALTO,335.0,231.5,-1.05,-17.319304180228727,108.01,0.75,-124.52 B,-19.54,1.4470842332613392,-19.34257846123099,2.32
329,FREN,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
330,BALI,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
331,LMPI,110.0,399.51,0.42,56.73572878015849,67.93,1.07,+5.90 B,21.73,0.27533728817801806,1.9388135547924608,0.34
332,KPIG,1350.0,1265.95,5.44,-92.05401757553493,18.66,1.67,-1.05 T,25.08,1.066392827520834,-14.665302346986186,7.84
333,ABDA,7400.0,1891.08,16.92,n.a,n.a,n.a,+311.65 B,14.29,3.913107853713222,n.a,3.37
334,GMTD,7450.0,5186.13,32.02,-2080.837789851288,n.a,n.a,+38.97 B,5.8,1.4365239590985956,-3.580288687727279,1.96
335,AKPI,950.0,1886.46,2.77,-1385.522737609201,60.52,1.96,+142.88 B,37.78,0.5035887323346373,-0.6856617897439053,0.26
336,UNVR,36000.0,754.34,129.63,-367.7409580605486,27.18,82.41,+5.34 T,48.62,47.723838057109525,-97.89499703775883,7.14
337,DEFI,141.0,74.79,9.29,n.a,n.a,n.a,+861.53 M,43.57,1.8852787805856397,n.a,9.59
