date 	price
03/05/2012 	1.316110
04/05/2012 	1.314371
05/05/2012 	1.308404
06/05/2012 	1.308147
07/05/2012 	1.308353
08/05/2012 	1.306020
09/05/2012 	1.303655
10/05/2012 	1.296849
11/05/2012 	1.295672
12/05/2012 	1.292491
13/05/2012 	1.291906
14/05/2012 	1.291656
15/05/2012 	1.284390
16/05/2012 	1.274205
17/05/2012 	1.272359
18/05/2012 	1.272103
19/05/2012 	1.271585
20/05/2012 	1.278298
21/05/2012 	1.278298
22/05/2012 	1.277999
23/05/2012 	1.271941
24/05/2012 	1.256725
25/05/2012 	1.253604
26/05/2012 	1.252191
27/05/2012 	1.251752
28/05/2012 	1.251752
29/05/2012 	1.253431
30/05/2012 	1.248106
31/05/2012 	1.239495
01/06/2012 	1.236262
02/06/2012 	1.240299
03/06/2012 	1.242344
04/06/2012 	1.243487
05/06/2012 	1.248600
06/06/2012 	1.244400
07/06/2012 	1.255099
08/06/2012 	1.260500
09/06/2012 	1.249891
10/06/2012 	1.251893
11/06/2012 	1.251799
12/06/2012 	1.249750
13/06/2012 	1.250234
14/06/2012 	1.259843
15/06/2012 	1.259665
16/06/2012 	1.263743
17/06/2012 	1.263791
18/06/2012 	1.263839
19/06/2012 	1.257229
20/06/2012 	1.271779
21/06/2012 	1.270971
22/06/2012 	1.256913
23/06/2012 	1.256281
24/06/2012 	1.257103
25/06/2012 	1.257103
26/06/2012 	1.249688
27/06/2012 	1.248845
28/06/2012 	1.246914
29/06/2012 	1.242082
30/06/2012 	1.265823
01/07/2012 	1.266464
02/07/2012 	1.266047
03/07/2012 	1.257941
04/07/2012 	1.260398
05/07/2012 	1.253604
06/07/2012 	1.238697
07/07/2012 	1.228396
08/07/2012 	1.228954
09/07/2012 	1.228848
10/07/2012 	1.231527
11/07/2012 	1.225265
12/07/2012 	1.225600
13/07/2012 	1.219959
14/07/2012 	1.223950
15/07/2012 	1.224890
16/07/2012 	1.225145
17/07/2012 	1.226974
18/07/2012 	1.226940
19/07/2012 	1.226440
20/07/2012 	1.226693
21/07/2012 	1.215789
22/07/2012 	1.215702
23/07/2012 	1.215643
24/07/2012 	1.212856
25/07/2012 	1.205400
26/07/2012 	1.215510
27/07/2012 	1.228426
28/07/2012 	1.233470
29/07/2012 	1.232104
30/07/2012 	1.231891
31/07/2012 	1.225490
01/08/2012 	1.230984
02/08/2012 	1.230619
03/08/2012 	1.216600
04/08/2012 	1.237014
05/08/2012 	1.238697
06/08/2012 	1.238850
07/08/2012 	1.239772
08/08/2012 	1.242082
09/08/2012 	1.235788
10/08/2012 	1.228501
11/08/2012 	1.229710
12/08/2012 	1.229090
13/08/2012 	1.229090
14/08/2012 	1.232894
15/08/2012 	1.232894
16/08/2012 	1.228350
17/08/2012 	1.236705
18/08/2012 	1.231724
19/08/2012 	1.233395
20/08/2012 	1.233654
21/08/2012 	1.234263
22/08/2012 	1.247349
23/08/2012 	1.247116
24/08/2012 	1.256913
25/08/2012 	1.253526
26/08/2012 	1.251392
27/08/2012 	1.251392
28/08/2012 	1.251314
29/08/2012 	1.257071
30/08/2012 	1.252999
31/08/2012 	1.249844
01/09/2012 	1.256755
02/09/2012 	1.257593
03/09/2012 	1.258052
04/09/2012 	1.259843
05/09/2012 	1.256234
06/09/2012 	1.260081
07/09/2012 	1.263590
08/09/2012 	1.278699
09/09/2012 	1.281558
10/09/2012 	1.281542
11/09/2012 	1.279185
12/09/2012 	1.285926
13/09/2012 	1.289491
14/09/2012 	1.296092
15/09/2012 	1.310709
16/09/2012 	1.312698
17/09/2012 	1.312836
18/09/2012 	1.312026
