Local time,Open,High,Low,Close,Volume
01.01.2011 00:00:00.000,1.55952,1.56224,1.55561,1.5608,11611.79
02.01.2011 00:00:00.000,1.5608,1.5608,1.5608,1.5608,0
03.01.2011 00:00:00.000,1.5608,1.5608,1.54334,1.54879,81049.0216
04.01.2011 00:00:00.000,1.54879,1.56452,1.54536,1.55842,119552.9699
05.01.2011 00:00:00.000,1.55843,1.56269,1.54504,1.54956,128935.99
06.01.2011 00:00:00.000,1.54953,1.55629,1.5464,1.54872,129380.2307
07.01.2011 00:00:00.000,1.54872,1.55784,1.54056,1.55565,131178.4793
08.01.2011 00:00:00.000,1.5557,1.55679,1.55347,1.55431,20551.3299
09.01.2011 00:00:00.000,1.55431,1.55431,1.55431,1.55431,0
10.01.2011 00:00:00.000,1.55431,1.55841,1.54745,1.55818,102300.7698
11.01.2011 00:00:00.000,1.5581,1.56385,1.5512,1.56261,117247.8599
12.01.2011 00:00:00.000,1.5626,1.57201,1.55826,1.57146,132428.6987
13.01.2011 00:00:00.000,1.57146,1.58829,1.57127,1.58687,142472.3382
14.01.2011 00:00:00.000,1.58679,1.58855,1.58104,1.58714,130625.8406
15.01.2011 00:00:00.000,1.58717,1.58878,1.58578,1.58661,17528.3303
16.01.2011 00:00:00.000,1.58661,1.58661,1.58661,1.58661,0
17.01.2011 00:00:00.000,1.58661,1.59541,1.58348,1.59052,98040.6197
18.01.2011 00:00:00.000,1.59051,1.60586,1.58696,1.59978,139981.9396
19.01.2011 00:00:00.000,1.59979,1.60371,1.59307,1.59884,140620.8005
20.01.2011 00:00:00.000,1.59884,1.6009,1.58371,1.58735,152568.7697
21.01.2011 00:00:00.000,1.5874,1.60037,1.58663,1.5995,132364.4591
22.01.2011 00:00:00.000,1.59946,1.60161,1.59796,1.5996,17989.9301
23.01.2011 00:00:00.000,1.5996,1.5996,1.5996,1.5996,0
24.01.2011 00:00:00.000,1.5996,1.60137,1.59204,1.59925,100481.0501
25.01.2011 00:00:00.000,1.59925,1.60159,1.57507,1.58164,134878.9401
26.01.2011 00:00:00.000,1.58164,1.59006,1.57688,1.58844,136196.8297
27.01.2011 00:00:00.000,1.58844,1.59897,1.58514,1.59033,135451.0403
28.01.2011 00:00:00.000,1.59033,1.59661,1.58253,1.58363,122970.4999
29.01.2011 00:00:00.000,1.58363,1.58721,1.58252,1.58577,18989.8595
30.01.2011 00:00:00.000,1.58577,1.58577,1.58577,1.58577,0
31.01.2011 00:00:00.000,1.58577,1.604,1.58207,1.6039,113831.4503
01.02.2011 00:00:00.000,1.6039,1.61553,1.60038,1.61216,25419.0698
02.02.2011 00:00:00.000,1.61215,1.62303,1.61215,1.61646,151125.9017
03.02.2011 00:00:00.000,1.61646,1.62773,1.61209,1.61571,163139.6706
04.02.2011 00:00:00.000,1.61574,1.61713,1.60359,1.60876,153405.428
05.02.2011 00:00:00.000,1.60878,1.61099,1.60749,1.61099,27115.0498
06.02.2011 00:00:00.000,1.61099,1.61099,1.61099,1.61099,0
07.02.2011 00:00:00.000,1.61099,1.61845,1.60892,1.61089,129834.9891
08.02.2011 00:00:00.000,1.61087,1.61617,1.60272,1.60885,169347.2708
09.02.2011 00:00:00.000,1.60885,1.6124,1.60324,1.60874,148169.6501
10.02.2011 00:00:00.000,1.60874,1.6137,1.60055,1.61294,154986.6006
11.02.2011 00:00:00.000,1.61293,1.61316,1.59628,1.59839,153054.6198
12.02.2011 00:00:00.000,1.59839,1.60348,1.59709,1.6005,24844.73
13.02.2011 00:00:00.000,1.6005,1.6005,1.6005,1.6005,0
14.02.2011 00:00:00.000,1.6005,1.60768,1.59808,1.60206,144050.3612
15.02.2011 00:00:00.000,1.60206,1.61704,1.60068,1.61262,198673.7083
16.02.2011 00:00:00.000,1.61262,1.61843,1.5986,1.60605,194894.7807
17.02.2011 00:00:00.000,1.60603,1.61856,1.60584,1.61709,193021.6006
18.02.2011 00:00:00.000,1.61705,1.62459,1.61469,1.62422,181716.6702
19.02.2011 00:00:00.000,1.62421,1.62625,1.62269,1.62501,28213.9798
20.02.2011 00:00:00.000,1.62501,1.62501,1.62501,1.62501,0
21.02.2011 00:00:00.000,1.62501,1.62572,1.62034,1.62305,108823.3196
22.02.2011 00:00:00.000,1.62305,1.62334,1.61108,1.61268,185125.0299
23.02.2011 00:00:00.000,1.61268,1.62731,1.61005,1.62191,175640.0294
24.02.2011 00:00:00.000,1.62189,1.62539,1.60844,1.6104,206013.8705
25.02.2011 00:00:00.000,1.6104,1.61599,1.60304,1.60758,186918.1903
26.02.2011 00:00:00.000,1.60758,1.61178,1.60719,1.61163,25217.8505
27.02.2011 00:00:00.000,1.61163,1.61163,1.61163,1.61163,0
28.02.2011 00:00:00.000,1.61163,1.62758,1.60714,1.62459,163668.0905
01.03.2011 00:00:00.000,1.62459,1.63289,1.62435,1.63069,193815.6615
02.03.2011 00:00:00.000,1.63068,1.63438,1.62144,1.63094,183532.5889
03.03.2011 00:00:00.000,1.63095,1.63332,1.62538,1.62636,173388.4213
04.03.2011 00:00:00.000,1.62636,1.6305,1.62349,1.62486,162054.6905
05.03.2011 00:00:00.000,1.62486,1.62781,1.62382,1.62666,28392.2998
06.03.2011 00:00:00.000,1.62666,1.62666,1.62666,1.62666,0
07.03.2011 00:00:00.000,1.62666,1.63409,1.61907,1.62018,131780.0904
08.03.2011 00:00:00.000,1.62018,1.62077,1.6125,1.61617,128790.7199
09.03.2011 00:00:00.000,1.61617,1.62426,1.61374,1.61996,148475.809
10.03.2011 00:00:00.000,1.61996,1.62168,1.60381,1.60613,188757.2981
11.03.2011 00:00:00.000,1.60612,1.60773,1.59766,1.60307,188680.7326
12.03.2011 00:00:00.000,1.60309,1.60869,1.60257,1.60796,32581.9307
13.03.2011 00:00:00.000,1.60796,1.60796,1.60796,1.60796,0
14.03.2011 00:00:00.000,1.60796,1.61986,1.60268,1.61668,167370.5605
15.03.2011 00:00:00.000,1.6167,1.61882,1.59774,1.6097,222672.8302
16.03.2011 00:00:00.000,1.6097,1.61308,1.60024,1.60147,215033.7608
17.03.2011 00:00:00.000,1.60148,1.61695,1.5981,1.61344,235746.4082
