,Date,Open,J-1,J-2,J-3,J-4,J-5,J-6
32,2010-01-05 09:00,91.904,91.705,91.697,91.715,92.166,92.257,92.281
33,2010-01-05 10:00,91.936,91.904,91.705,91.697,91.715,92.166,92.257
34,2010-01-05 11:00,91.893,91.936,91.904,91.705,91.697,91.715,92.166
35,2010-01-05 12:00,91.953,91.893,91.936,91.904,91.705,91.697,91.715
36,2010-01-05 13:00,92.118,91.953,91.893,91.936,91.904,91.705,91.697
37,2010-01-05 14:00,91.952,92.118,91.953,91.893,91.936,91.904,91.705
38,2010-01-05 15:00,91.772,91.952,92.118,91.953,91.893,91.936,91.904
39,2010-01-05 16:00,91.4,91.772,91.952,92.118,91.953,91.893,91.936
40,2010-01-05 17:00,91.553,91.4,91.772,91.952,92.118,91.953,91.893
41,2010-01-05 18:00,91.497,91.553,91.4,91.772,91.952,92.118,91.953
42,2010-01-05 19:00,91.574,91.497,91.553,91.4,91.772,91.952,92.118
43,2010-01-05 20:00,91.603,91.574,91.497,91.553,91.4,91.772,91.952
44,2010-01-05 21:00,91.758,91.603,91.574,91.497,91.553,91.4,91.772
45,2010-01-05 22:00,91.693,91.758,91.603,91.574,91.497,91.553,91.4
46,2010-01-05 23:00,91.751,91.693,91.758,91.603,91.574,91.497,91.553
47,2010-01-06 00:00,91.754,91.751,91.693,91.758,91.603,91.574,91.497
48,2010-01-06 01:00,91.574,91.754,91.751,91.693,91.758,91.603,91.574
49,2010-01-06 02:00,91.636,91.574,91.754,91.751,91.693,91.758,91.603
50,2010-01-06 03:00,91.788,91.636,91.574,91.754,91.751,91.693,91.758
51,2010-01-06 04:00,91.813,91.788,91.636,91.574,91.754,91.751,91.693
52,2010-01-06 05:00,91.908,91.813,91.788,91.636,91.574,91.754,91.751
53,2010-01-06 06:00,92.075,91.908,91.813,91.788,91.636,91.574,91.754
54,2010-01-06 07:00,92.066,92.075,91.908,91.813,91.788,91.636,91.574
55,2010-01-06 08:00,92.124,92.066,92.075,91.908,91.813,91.788,91.636
56,2010-01-06 09:00,92.133,92.124,92.066,92.075,91.908,91.813,91.788
57,2010-01-06 10:00,92.087,92.133,92.124,92.066,92.075,91.908,91.813
58,2010-01-06 11:00,92.349,92.087,92.133,92.124,92.066,92.075,91.908
59,2010-01-06 12:00,92.353,92.349,92.087,92.133,92.124,92.066,92.075
60,2010-01-06 13:00,92.474,92.353,92.349,92.087,92.133,92.124,92.066
61,2010-01-06 14:00,92.339,92.474,92.353,92.349,92.087,92.133,92.124
62,2010-01-06 15:00,92.189,92.339,92.474,92.353,92.349,92.087,92.133
63,2010-01-06 16:00,92.498,92.189,92.339,92.474,92.353,92.349,92.087
64,2010-01-06 17:00,92.662,92.498,92.189,92.339,92.474,92.353,92.349
65,2010-01-06 18:00,92.553,92.662,92.498,92.189,92.339,92.474,92.353
66,2010-01-06 19:00,92.508,92.553,92.662,92.498,92.189,92.339,92.474
67,2010-01-06 20:00,92.571,92.508,92.553,92.662,92.498,92.189,92.339
68,2010-01-06 21:00,92.451,92.571,92.508,92.553,92.662,92.498,92.189
69,2010-01-06 22:00,92.403,92.451,92.571,92.508,92.553,92.662,92.498
70,2010-01-06 23:00,92.344,92.403,92.451,92.571,92.508,92.553,92.662
71,2010-01-07 00:00,92.365,92.344,92.403,92.451,92.571,92.508,92.553
72,2010-01-07 01:00,92.377,92.365,92.344,92.403,92.451,92.571,92.508
73,2010-01-07 02:00,92.393,92.377,92.365,92.344,92.403,92.451,92.571
74,2010-01-07 03:00,92.287,92.393,92.377,92.365,92.344,92.403,92.451
75,2010-01-07 04:00,92.307,92.287,92.393,92.377,92.365,92.344,92.403
76,2010-01-07 05:00,92.178,92.307,92.287,92.393,92.377,92.365,92.344
77,2010-01-07 06:00,92.298,92.178,92.307,92.287,92.393,92.377,92.365
78,2010-01-07 07:00,92.214,92.298,92.178,92.307,92.287,92.393,92.377
79,2010-01-07 08:00,92.741,92.214,92.298,92.178,92.307,92.287,92.393
80,2010-01-07 09:00,92.799,92.741,92.214,92.298,92.178,92.307,92.287
81,2010-01-07 10:00,92.708,92.799,92.741,92.214,92.298,92.178,92.307
82,2010-01-07 11:00,92.889,92.708,92.799,92.741,92.214,92.298,92.178
83,2010-01-07 12:00,92.935,92.889,92.708,92.799,92.741,92.214,92.298
84,2010-01-07 13:00,93.014,92.935,92.889,92.708,92.799,92.741,92.214
85,2010-01-07 14:00,93.254,93.014,92.935,92.889,92.708,92.799,92.741
86,2010-01-07 15:00,93.079,93.254,93.014,92.935,92.889,92.708,92.799
87,2010-01-07 16:00,93.22,93.079,93.254,93.014,92.935,92.889,92.708
88,2010-01-07 17:00,93.209,93.22,93.079,93.254,93.014,92.935,92.889
89,2010-01-07 18:00,93.329,93.209,93.22,93.079,93.254,93.014,92.935
90,2010-01-07 19:00,93.171,93.329,93.209,93.22,93.079,93.254,93.014
91,2010-01-07 20:00,93.145,93.171,93.329,93.209,93.22,93.079,93.254
92,2010-01-07 21:00,93.14,93.145,93.171,93.329,93.209,93.22,93.079
93,2010-01-07 22:00,93.237,93.14,93.145,93.171,93.329,93.209,93.22
94,2010-01-07 23:00,93.399,93.237,93.14,93.145,93.171,93.329,93.209
95,2010-01-08 00:00,93.614,93.399,93.237,93.14,93.145,93.171,93.329
96,2010-01-08 01:00,93.469,93.614,93.399,93.237,93.14,93.145,93.171
97,2010-01-08 02:00,93.419,93.469,93.614,93.399,93.237,93.14,93.145
98,2010-01-08 03:00,93.333,93.419,93.469,93.614,93.399,93.237,93.14
99,2010-01-08 04:00,93.302,93.333,93.419,93.469,93.614,93.399,93.237
100,2010-01-08 05:00,93.293,93.302,93.333,93.419,93.469,93.614,93.399
101,2010-01-08 06:00,93.178,93.293,93.302,93.333,93.419,93.469,93.614
102,2010-01-08 07:00,93.328,93.178,93.293,93.302,93.333,93.419,93.469
103,2010-01-08 08:00,93.422,93.328,93.178,93.293,93.302,93.333,93.419
104,2010-01-08 09:00,93.293,93.422,93.328,93.178,93.293,93.302,93.333
105,2010-01-08 10:00,93.119,93.293,93.422,93.328,93.178,93.293,93.302
106,2010-01-08 11:00,93.139,93.119,93.293,93.422,93.328,93.178,93.293
107,2010-01-08 12:00,93.278,93.139,93.119,93.293,93.422,93.328,93.178
108,2010-01-08 13:00,93.214,93.278,93.139,93.119,93.293,93.422,93.328
109,2010-01-08 14:00,93.305,93.214,93.278,93.139,93.119,93.293,93.422
110,2010-01-08 15:00,92.38,93.305,93.214,93.278,93.139,93.119,93.293
111,2010-01-08 16:00,92.828,92.38,93.305,93.214,93.278,93.139,93.119
112,2010-01-08 17:00,92.953,92.828,92.38,93.305,93.214,93.278,93.139
113,2010-01-08 18:00,92.718,92.953,92.828,92.38,93.305,93.214,93.278
114,2010-01-08 19:00,92.613,92.718,92.953,92.828,92.38,93.305,93.214
115,2010-01-10 23:00,92.543,92.613,92.718,92.953,92.828,92.38,93.305
116,2010-01-11 00:00,92.595,92.543,92.613,92.718,92.953,92.828,92.38
117,2010-01-11 01:00,92.375,92.595,92.543,92.613,92.718,92.953,92.828
118,2010-01-11 02:00,92.375,92.375,92.595,92.543,92.613,92.718,92.953
119,2010-01-11 03:00,92.364,92.375,92.375,92.595,92.543,92.613,92.718
120,2010-01-11 04:00,92.269,92.364,92.375,92.375,92.595,92.543,92.613
121,2010-01-11 05:00,92.246,92.269,92.364,92.375,92.375,92.595,92.543
122,2010-01-11 06:00,92.353,92.246,92.269,92.364,92.375,92.375,92.595
123,2010-01-11 07:00,92.237,92.353,92.246,92.269,92.364,92.375,92.375
124,2010-01-11 08:00,92.342,92.237,92.353,92.246,92.269,92.364,92.375
125,2010-01-11 09:00,92.403,92.342,92.237,92.353,92.246,92.269,92.364
126,2010-01-11 10:00,92.331,92.403,92.342,92.237,92.353,92.246,92.269
127,2010-01-11 11:00,92.485,92.331,92.403,92.342,92.237,92.353,92.246
128,2010-01-11 12:00,92.508,92.485,92.331,92.403,92.342,92.237,92.353
129,2010-01-11 13:00,92.398,92.508,92.485,92.331,92.403,92.342,92.237
130,2010-01-11 14:00,92.404,92.398,92.508,92.485,92.331,92.403,92.342
131,2010-01-11 15:00,92.418,92.404,92.398,92.508,92.485,92.331,92.403
132,2010-01-11 16:00,92.418,92.418,92.404,92.398,92.508,92.485,92.331
133,2010-01-11 17:00,91.934,92.418,92.418,92.404,92.398,92.508,92.485
134,2010-01-11 18:00,91.936,91.934,92.418,92.418,92.404,92.398,92.508
135,2010-01-11 19:00,92.068,91.936,91.934,92.418,92.418,92.404,92.398
136,2010-01-11 20:00,91.986,92.068,91.936,91.934,92.418,92.418,92.404
137,2010-01-11 21:00,92.087,91.986,92.068,91.936,91.934,92.418,92.418
138,2010-01-11 22:00,92.103,92.087,91.986,92.068,91.936,91.934,92.418
139,2010-01-11 23:00,92.11,92.103,92.087,91.986,92.068,91.936,91.934
140,2010-01-12 00:00,92.074,92.11,92.103,92.087,91.986,92.068,91.936
141,2010-01-12 01:00,92.121,92.074,92.11,92.103,92.087,91.986,92.068
142,2010-01-12 02:00,92.251,92.121,92.074,92.11,92.103,92.087,91.986
143,2010-01-12 03:00,91.848,92.251,92.121,92.074,92.11,92.103,92.087
144,2010-01-12 04:00,92.124,91.848,92.251,92.121,92.074,92.11,92.103
145,2010-01-12 05:00,92.269,92.124,91.848,92.251,92.121,92.074,92.11
146,2010-01-12 06:00,92.216,92.269,92.124,91.848,92.251,92.121,92.074
147,2010-01-12 07:00,92.237,92.216,92.269,92.124,91.848,92.251,92.121
148,2010-01-12 08:00,92.208,92.237,92.216,92.269,92.124,91.848,92.251
149,2010-01-12 09:00,91.899,92.208,92.237,92.216,92.269,92.124,91.848
150,2010-01-12 10:00,91.922,91.899,92.208,92.237,92.216,92.269,92.124
151,2010-01-12 11:00,91.828,91.922,91.899,92.208,92.237,92.216,92.269
152,2010-01-12 12:00,91.649,91.828,91.922,91.899,92.208,92.237,92.216
153,2010-01-12 13:00,91.734,91.649,91.828,91.922,91.899,92.208,92.237
154,2010-01-12 14:00,91.484,91.734,91.649,91.828,91.922,91.899,92.208
155,2010-01-12 15:00,91.355,91.484,91.734,91.649,91.828,91.922,91.899
156,2010-01-12 16:00,91.2,91.355,91.484,91.734,91.649,91.828,91.922
157,2010-01-12 17:00,90.929,91.2,91.355,91.484,91.734,91.649,91.828
158,2010-01-12 18:00,90.988,90.929,91.2,91.355,91.484,91.734,91.649
159,2010-01-12 19:00,90.822,90.988,90.929,91.2,91.355,91.484,91.734
160,2010-01-12 20:00,90.928,90.822,90.988,90.929,91.2,91.355,91.484
161,2010-01-12 21:00,91.006,90.928,90.822,90.988,90.929,91.2,91.355
162,2010-01-12 22:00,90.968,91.006,90.928,90.822,90.988,90.929,91.2
163,2010-01-12 23:00,91.006,90.968,91.006,90.928,90.822,90.988,90.929
164,2010-01-13 00:00,91.15,91.006,90.968,91.006,90.928,90.822,90.988
165,2010-01-13 01:00,91.116,91.15,91.006,90.968,91.006,90.928,90.822
166,2010-01-13 02:00,91.179,91.116,91.15,91.006,90.968,91.006,90.928
167,2010-01-13 03:00,91.038,91.179,91.116,91.15,91.006,90.968,91.006
168,2010-01-13 04:00,91.056,91.038,91.179,91.116,91.15,91.006,90.968
169,2010-01-13 05:00,91.054,91.056,91.038,91.179,91.116,91.15,91.006
170,2010-01-13 06:00,91.11,91.054,91.056,91.038,91.179,91.116,91.15
171,2010-01-13 07:00,91.129,91.11,91.054,91.056,91.038,91.179,91.116
172,2010-01-13 08:00,91.172,91.129,91.11,91.054,91.056,91.038,91.179
173,2010-01-13 09:00,91.298,91.172,91.129,91.11,91.054,91.056,91.038
174,2010-01-13 10:00,91.459,91.298,91.172,91.129,91.11,91.054,91.056
175,2010-01-13 11:00,91.439,91.459,91.298,91.172,91.129,91.11,91.054
176,2010-01-13 12:00,91.368,91.439,91.459,91.298,91.172,91.129,91.11
177,2010-01-13 13:00,91.284,91.368,91.439,91.459,91.298,91.172,91.129
178,2010-01-13 14:00,91.311,91.284,91.368,91.439,91.459,91.298,91.172
179,2010-01-13 15:00,91.252,91.311,91.284,91.368,91.439,91.459,91.298
180,2010-01-13 16:00,91.422,91.252,91.311,91.284,91.368,91.439,91.459
181,2010-01-13 17:00,91.255,91.422,91.252,91.311,91.284,91.368,91.439
182,2010-01-13 18:00,91.398,91.255,91.422,91.252,91.311,91.284,91.368
183,2010-01-13 19:00,91.377,91.398,91.255,91.422,91.252,91.311,91.284
184,2010-01-13 20:00,91.386,91.377,91.398,91.255,91.422,91.252,91.311
185,2010-01-13 21:00,91.456,91.386,91.377,91.398,91.255,91.422,91.252
186,2010-01-13 22:00,91.458,91.456,91.386,91.377,91.398,91.255,91.422
187,2010-01-13 23:00,91.398,91.458,91.456,91.386,91.377,91.398,91.255
188,2010-01-14 00:00,91.399,91.398,91.458,91.456,91.386,91.377,91.398
189,2010-01-14 01:00,91.415,91.399,91.398,91.458,91.456,91.386,91.377
190,2010-01-14 02:00,91.449,91.415,91.399,91.398,91.458,91.456,91.386
191,2010-01-14 03:00,91.414,91.449,91.415,91.399,91.398,91.458,91.456
192,2010-01-14 04:00,91.679,91.414,91.449,91.415,91.399,91.398,91.458
193,2010-01-14 05:00,91.748,91.679,91.414,91.449,91.415,91.399,91.398
194,2010-01-14 06:00,91.778,91.748,91.679,91.414,91.449,91.415,91.399
195,2010-01-14 07:00,91.801,91.778,91.748,91.679,91.414,91.449,91.415
196,2010-01-14 08:00,91.631,91.801,91.778,91.748,91.679,91.414,91.449
197,2010-01-14 09:00,91.858,91.631,91.801,91.778,91.748,91.679,91.414
198,2010-01-14 10:00,91.873,91.858,91.631,91.801,91.778,91.748,91.679
199,2010-01-14 11:00,91.888,91.873,91.858,91.631,91.801,91.778,91.748
200,2010-01-14 12:00,91.976,91.888,91.873,91.858,91.631,91.801,91.778
201,2010-01-14 13:00,91.804,91.976,91.888,91.873,91.858,91.631,91.801
202,2010-01-14 14:00,91.687,91.804,91.976,91.888,91.873,91.858,91.631
203,2010-01-14 15:00,91.225,91.687,91.804,91.976,91.888,91.873,91.858
204,2010-01-14 16:00,91.334,91.225,91.687,91.804,91.976,91.888,91.873
205,2010-01-14 17:00,91.103,91.334,91.225,91.687,91.804,91.976,91.888
206,2010-01-14 18:00,91.054,91.103,91.334,91.225,91.687,91.804,91.976
207,2010-01-14 19:00,91.081,91.054,91.103,91.334,91.225,91.687,91.804
208,2010-01-14 20:00,90.929,91.081,91.054,91.103,91.334,91.225,91.687
209,2010-01-14 21:00,90.996,90.929,91.081,91.054,91.103,91.334,91.225
210,2010-01-14 22:00,91.119,90.996,90.929,91.081,91.054,91.103,91.334
211,2010-01-14 23:00,91.236,91.119,90.996,90.929,91.081,91.054,91.103
212,2010-01-15 00:00,91.269,91.236,91.119,90.996,90.929,91.081,91.054
213,2010-01-15 01:00,91.293,91.269,91.236,91.119,90.996,90.929,91.081
214,2010-01-15 02:00,91.248,91.293,91.269,91.236,91.119,90.996,90.929
215,2010-01-15 03:00,91.028,91.248,91.293,91.269,91.236,91.119,90.996
216,2010-01-15 04:00,91.08,91.028,91.248,91.293,91.269,91.236,91.119
217,2010-01-15 05:00,91.159,91.08,91.028,91.248,91.293,91.269,91.236
218,2010-01-15 06:00,91.103,91.159,91.08,91.028,91.248,91.293,91.269
219,2010-01-15 07:00,91.184,91.103,91.159,91.08,91.028,91.248,91.293
220,2010-01-15 08:00,91.059,91.184,91.103,91.159,91.08,91.028,91.248
221,2010-01-15 09:00,90.968,91.059,91.184,91.103,91.159,91.08,91.028
222,2010-01-15 10:00,90.761,90.968,91.059,91.184,91.103,91.159,91.08
223,2010-01-15 11:00,90.793,90.761,90.968,91.059,91.184,91.103,91.159
224,2010-01-15 12:00,90.724,90.793,90.761,90.968,91.059,91.184,91.103
225,2010-01-15 13:00,90.973,90.724,90.793,90.761,90.968,91.059,91.184
226,2010-01-15 14:00,90.953,90.973,90.724,90.793,90.761,90.968,91.059
227,2010-01-15 15:00,91.1,90.953,90.973,90.724,90.793,90.761,90.968
228,2010-01-15 16:00,90.882,91.1,90.953,90.973,90.724,90.793,90.761
229,2010-01-15 17:00,90.869,90.882,91.1,90.953,90.973,90.724,90.793
230,2010-01-15 18:00,90.806,90.869,90.882,91.1,90.953,90.973,90.724
231,2010-01-15 19:00,90.813,90.806,90.869,90.882,91.1,90.953,90.973
232,2010-01-17 23:00,90.86,90.813,90.806,90.869,90.882,91.1,90.953
233,2010-01-18 00:00,90.919,90.86,90.813,90.806,90.869,90.882,91.1
234,2010-01-18 01:00,90.868,90.919,90.86,90.813,90.806,90.869,90.882
235,2010-01-18 02:00,90.833,90.868,90.919,90.86,90.813,90.806,90.869
236,2010-01-18 03:00,90.788,90.833,90.868,90.919,90.86,90.813,90.806
237,2010-01-18 04:00,90.784,90.788,90.833,90.868,90.919,90.86,90.813
238,2010-01-18 05:00,90.919,90.784,90.788,90.833,90.868,90.919,90.86
239,2010-01-18 06:00,90.915,90.919,90.784,90.788,90.833,90.868,90.919
240,2010-01-18 07:00,91.056,90.915,90.919,90.784,90.788,90.833,90.868
241,2010-01-18 08:00,90.936,91.056,90.915,90.919,90.784,90.788,90.833
242,2010-01-18 09:00,90.997,90.936,91.056,90.915,90.919,90.784,90.788
243,2010-01-18 10:00,91.046,90.997,90.936,91.056,90.915,90.919,90.784
244,2010-01-18 11:00,90.949,91.046,90.997,90.936,91.056,90.915,90.919
245,2010-01-18 12:00,90.834,90.949,91.046,90.997,90.936,91.056,90.915
246,2010-01-18 13:00,90.731,90.834,90.949,91.046,90.997,90.936,91.056
247,2010-01-18 14:00,90.675,90.731,90.834,90.949,91.046,90.997,90.936
248,2010-01-18 15:00,90.727,90.675,90.731,90.834,90.949,91.046,90.997
249,2010-01-18 16:00,90.775,90.727,90.675,90.731,90.834,90.949,91.046
250,2010-01-18 17:00,90.837,90.775,90.727,90.675,90.731,90.834,90.949
251,2010-01-18 18:00,90.738,90.837,90.775,90.727,90.675,90.731,90.834
252,2010-01-18 19:00,90.724,90.738,90.837,90.775,90.727,90.675,90.731
253,2010-01-18 20:00,90.741,90.724,90.738,90.837,90.775,90.727,90.675
254,2010-01-18 21:00,90.761,90.741,90.724,90.738,90.837,90.775,90.727
255,2010-01-18 22:00,90.779,90.761,90.741,90.724,90.738,90.837,90.775
256,2010-01-18 23:00,90.816,90.779,90.761,90.741,90.724,90.738,90.837
257,2010-01-19 00:00,90.674,90.816,90.779,90.761,90.741,90.724,90.738
258,2010-01-19 01:00,90.717,90.674,90.816,90.779,90.761,90.741,90.724
259,2010-01-19 02:00,90.74,90.717,90.674,90.816,90.779,90.761,90.741
260,2010-01-19 03:00,90.623,90.74,90.717,90.674,90.816,90.779,90.761
261,2010-01-19 04:00,90.607,90.623,90.74,90.717,90.674,90.816,90.779
262,2010-01-19 05:00,90.498,90.607,90.623,90.74,90.717,90.674,90.816
263,2010-01-19 06:00,90.403,90.498,90.607,90.623,90.74,90.717,90.674
264,2010-01-19 07:00,90.488,90.403,90.498,90.607,90.623,90.74,90.717
265,2010-01-19 08:00,90.528,90.488,90.403,90.498,90.607,90.623,90.74
266,2010-01-19 09:00,90.639,90.528,90.488,90.403,90.498,90.607,90.623
267,2010-01-19 10:00,90.419,90.639,90.528,90.488,90.403,90.498,90.607
268,2010-01-19 11:00,90.627,90.419,90.639,90.528,90.488,90.403,90.498
269,2010-01-19 12:00,90.832,90.627,90.419,90.639,90.528,90.488,90.403
270,2010-01-19 13:00,90.866,90.832,90.627,90.419,90.639,90.528,90.488
271,2010-01-19 14:00,90.998,90.866,90.832,90.627,90.419,90.639,90.528
272,2010-01-19 15:00,90.93,90.998,90.866,90.832,90.627,90.419,90.639
273,2010-01-19 16:00,91.117,90.93,90.998,90.866,90.832,90.627,90.419
274,2010-01-19 17:00,91.203,91.117,90.93,90.998,90.866,90.832,90.627
275,2010-01-19 18:00,91.153,91.203,91.117,90.93,90.998,90.866,90.832
276,2010-01-19 19:00,91.078,91.153,91.203,91.117,90.93,90.998,90.866
277,2010-01-19 20:00,91.078,91.078,91.153,91.203,91.117,90.93,90.998
278,2010-01-19 21:00,91.112,91.078,91.078,91.153,91.203,91.117,90.93
279,2010-01-19 22:00,91.148,91.112,91.078,91.078,91.153,91.203,91.117
280,2010-01-19 23:00,91.198,91.148,91.112,91.078,91.078,91.153,91.203
281,2010-01-20 00:00,91.152,91.198,91.148,91.112,91.078,91.078,91.153
282,2010-01-20 01:00,91.224,91.152,91.198,91.148,91.112,91.078,91.078
283,2010-01-20 02:00,91.144,91.224,91.152,91.198,91.148,91.112,91.078
284,2010-01-20 03:00,91.189,91.144,91.224,91.152,91.198,91.148,91.112
285,2010-01-20 04:00,91.259,91.189,91.144,91.224,91.152,91.198,91.148
286,2010-01-20 05:00,91.278,91.259,91.189,91.144,91.224,91.152,91.198
287,2010-01-20 06:00,91.181,91.278,91.259,91.189,91.144,91.224,91.152
288,2010-01-20 07:00,91.222,91.181,91.278,91.259,91.189,91.144,91.224
289,2010-01-20 08:00,91.15,91.222,91.181,91.278,91.259,91.189,91.144
290,2010-01-20 09:00,90.909,91.15,91.222,91.181,91.278,91.259,91.189
291,2010-01-20 10:00,90.962,90.909,91.15,91.222,91.181,91.278,91.259
292,2010-01-20 11:00,90.973,90.962,90.909,91.15,91.222,91.181,91.278
293,2010-01-20 12:00,90.865,90.973,90.962,90.909,91.15,91.222,91.181
294,2010-01-20 13:00,90.93,90.865,90.973,90.962,90.909,91.15,91.222
295,2010-01-20 14:00,91.02,90.93,90.865,90.973,90.962,90.909,91.15
296,2010-01-20 15:00,90.968,91.02,90.93,90.865,90.973,90.962,90.909
297,2010-01-20 16:00,91.337,90.968,91.02,90.93,90.865,90.973,90.962
298,2010-01-20 17:00,91.226,91.337,90.968,91.02,90.93,90.865,90.973
299,2010-01-20 18:00,91.248,91.226,91.337,90.968,91.02,90.93,90.865
300,2010-01-20 19:00,91.217,91.248,91.226,91.337,90.968,91.02,90.93
301,2010-01-20 20:00,91.251,91.217,91.248,91.226,91.337,90.968,91.02
302,2010-01-20 21:00,91.214,91.251,91.217,91.248,91.226,91.337,90.968
303,2010-01-20 22:00,91.239,91.214,91.251,91.217,91.248,91.226,91.337
304,2010-01-20 23:00,91.258,91.239,91.214,91.251,91.217,91.248,91.226
305,2010-01-21 00:00,91.287,91.258,91.239,91.214,91.251,91.217,91.248
306,2010-01-21 01:00,91.223,91.287,91.258,91.239,91.214,91.251,91.217
307,2010-01-21 02:00,91.333,91.223,91.287,91.258,91.239,91.214,91.251
308,2010-01-21 03:00,91.334,91.333,91.223,91.287,91.258,91.239,91.214
309,2010-01-21 04:00,91.445,91.334,91.333,91.223,91.287,91.258,91.239
310,2010-01-21 05:00,91.576,91.445,91.334,91.333,91.223,91.287,91.258
311,2010-01-21 06:00,91.593,91.576,91.445,91.334,91.333,91.223,91.287
312,2010-01-21 07:00,91.615,91.593,91.576,91.445,91.334,91.333,91.223
313,2010-01-21 08:00,91.498,91.615,91.593,91.576,91.445,91.334,91.333
314,2010-01-21 09:00,91.529,91.498,91.615,91.593,91.576,91.445,91.334
315,2010-01-21 10:00,91.694,91.529,91.498,91.615,91.593,91.576,91.445
316,2010-01-21 11:00,91.754,91.694,91.529,91.498,91.615,91.593,91.576
317,2010-01-21 12:00,91.729,91.754,91.694,91.529,91.498,91.615,91.593
318,2010-01-21 13:00,91.787,91.729,91.754,91.694,91.529,91.498,91.615
319,2010-01-21 14:00,91.779,91.787,91.729,91.754,91.694,91.529,91.498
320,2010-01-21 15:00,91.758,91.779,91.787,91.729,91.754,91.694,91.529
321,2010-01-21 16:00,91.771,91.758,91.779,91.787,91.729,91.754,91.694
322,2010-01-21 17:00,91.194,91.771,91.758,91.779,91.787,91.729,91.754
323,2010-01-21 18:00,90.275,91.194,91.771,91.758,91.779,91.787,91.729
324,2010-01-21 19:00,90.429,90.275,91.194,91.771,91.758,91.779,91.787
325,2010-01-21 20:00,90.284,90.429,90.275,91.194,91.771,91.758,91.779
326,2010-01-21 21:00,90.401,90.284,90.429,90.275,91.194,91.771,91.758
327,2010-01-21 22:00,90.419,90.401,90.284,90.429,90.275,91.194,91.771
328,2010-01-21 23:00,90.472,90.419,90.401,90.284,90.429,90.275,91.194
329,2010-01-22 00:00,90.439,90.472,90.419,90.401,90.284,90.429,90.275
330,2010-01-22 01:00,90.458,90.439,90.472,90.419,90.401,90.284,90.429
331,2010-01-22 02:00,90.259,90.458,90.439,90.472,90.419,90.401,90.284
332,2010-01-22 03:00,89.889,90.259,90.458,90.439,90.472,90.419,90.401
333,2010-01-22 04:00,89.997,89.889,90.259,90.458,90.439,90.472,90.419
334,2010-01-22 05:00,89.864,89.997,89.889,90.259,90.458,90.439,90.472
335,2010-01-22 06:00,89.977,89.864,89.997,89.889,90.259,90.458,90.439
336,2010-01-22 07:00,89.972,89.977,89.864,89.997,89.889,90.259,90.458
337,2010-01-22 08:00,90.212,89.972,89.977,89.864,89.997,89.889,90.259
338,2010-01-22 09:00,90.439,90.212,89.972,89.977,89.864,89.997,89.889
339,2010-01-22 10:00,90.308,90.439,90.212,89.972,89.977,89.864,89.997
340,2010-01-22 11:00,90.401,90.308,90.439,90.212,89.972,89.977,89.864
