AALI
ADHI
ADRO
AKRA
ASII
ASRI
BBCA
BBNI
BBRI
BBTN
BMRI
BMTR
BSDE
CPIN
EXCL
GGRM
ICBP
INCO
INDF
INTP
ITMG
JSMR
KLBF
LPKR
LPPF
LSIP
MNCN
MPPA
PGAS
PTBA
PTPP
PWON
SCMA
SILO
SMGR
SMRA
SRIL
SSMS
TBIG
TLKM
UNTR
UNVR
WIKA
WSKT
WTON
