AALI
ACES
ADHI
ADRO
AISA
AKRA
AMRT
ANTM
APLN
ASII
ASRI
BBCA
BBNI
BBRI
BBTN
BCIP
BDMN
BEST
BHIT
BJBR
BJTM
BKSL
BMRI
BMTR
BSDE
BUMI
BWPT
CPIN
CTRA
CTRP
DILD
DOID
ELSA
ENRG
ERAA
EXCL
GGRM
GIAA
GJTL
HRUM
ICBP
INCO
INDF
INTP
ISAT
ITMG
JPFA
JSMR
KIJA
KLBF
LCGP
LINK
LPCK
LPKR
LPPF
LSIP
MAIN
MAPI
MDLN
MEDC
META
MLPL
MNCN
MPPA
NIRO
PBRX
PGAS
PNBN
PNLF
PTBA
PTPP
PWON
RALS
ROTI
SAME
SCMA
SIDO
SILO
SIMP
SMBR
SMCB
SMGR
SMRA
SRIL
SSIA
SSMS
SUGI
TARA
TAXI
TBIG
TINS
TLKM
TMPI
TOTL
UNTR
UNVR
VIVA
WIKA
WSKT
WTON
